student_id,gender,percentage_10,percentage_12,cgpa_sem,basic_aptitude,grade_ICP,grade_OOPS,grade_DSA,grade_DAA,grade_DBMS,grade_OS,grade_CN,grade_IWT,grade_CPMAD,grade_AJ,grade_AWT,communication_skill,aptitude_training_perf,coding_training_perf,national_test_score,amcat_score,num_hackathons,leetcode_solved,github_contrib_score,num_projects,project_depth,num_internships,internship_quality,research_papers,certification_count,attendance_percent,mock_interview_score,personality_score,placement_status
S0001,Male,80.21,82.12,8.1,3,A+,C,A+,B,C,A-,A-,A,B-,A-,A,4,2,2,4,38,0,163,16,3,4,3,0,1,4,84,5,3,1
S0002,Female,81.45,85.95,7.09,1,A-,B,C,A-,C,A+,B,A,A,B+,A,1,5,5,5,70,2,79,0,5,3,3,2,2,4,74,1,4,0
S0003,Female,80.56,65.04,7.73,2,B-,B,B+,A,A,B+,A,B+,A-,A,B+,2,3,4,0,79,2,172,11,3,1,3,1,2,7,88,4,5,1
S0004,Male,75.9,58.12,8.14,2,B-,A,C,A,A,B,B+,A,A,A+,A,3,1,2,5,39,1,178,11,4,0,2,1,2,7,70,2,1,1
S0005,Male,73.03,82.2,6.81,1,A,A,A,C,A-,B,B,C,A+,A-,C,5,4,3,1,83,2,45,10,5,2,1,2,1,1,64,2,4,1
S0006,Male,73.49,77.01,7.41,1,B+,A-,A,A,A+,B+,B+,B-,A,B+,A-,1,3,5,2,39,2,255,10,1,1,1,1,1,7,83,2,5,0
S0007,Male,73.05,73.29,7.43,3,B,B,A-,B-,B,A+,B,A+,A-,B,A-,4,1,3,0,36,2,131,15,2,1,3,0,2,6,58,3,3,1
S0008,Female,86.34,76.65,8.49,1,A,B,B,B+,A+,A-,B+,B+,A+,B+,B,2,3,2,4,61,0,169,4,4,4,0,2,0,5,52,2,1,1
S0009,Female,80.94,75.88,6.22,3,A-,A-,B+,A+,A+,C,A,B,B+,B,A+,5,5,5,1,83,0,135,8,5,0,2,1,0,2,59,2,5,0
S0010,Female,45.6,87.41,7.44,5,B+,B,C,B+,B+,A,A-,A,A-,A,B,2,4,3,2,99,2,104,9,0,3,0,1,2,4,99,1,4,0
S0011,Male,81.56,87.54,9.79,2,A,B-,A+,B-,C,A,B+,B+,A+,A+,B,3,3,4,5,92,0,25,10,2,3,2,0,1,1,64,4,5,1
S0012,Female,76.95,78.53,8.9,2,A+,A+,B,B,A-,B,B,A-,B,A,B+,4,4,1,4,63,0,0,2,4,1,2,1,1,8,65,4,5,0
S0013,Female,74.81,82.15,9.12,2,A,B+,A,B+,A-,B,B,A,B,B,C,5,2,1,2,72,3,253,10,1,1,2,0,0,4,62,5,1,1
S0014,Male,71.11,78.17,7.53,5,B,B,A,B-,D,C,A-,B,B-,B,B+,5,2,3,5,34,2,210,7,3,0,0,3,1,7,93,2,2,0
S0015,Male,86.24,66.47,7.89,5,A+,B+,B+,A,B+,A-,C,D,B+,A,B,1,5,1,1,48,0,209,0,4,1,0,1,2,4,93,4,5,1
S0016,Male,84.48,81.08,8.7,4,A,B,B+,C,A-,B+,A,A-,C,A+,C,2,5,4,2,83,2,89,16,0,2,3,2,1,9,50,4,1,1
S0017,Male,67.27,55.27,9.37,3,A,B+,A,B-,A-,B+,A,B+,C,B,B,5,2,4,0,43,0,38,15,0,3,2,0,1,8,96,4,1,1
S0018,Male,79.07,84.65,5.16,3,A+,D,A,B,A,C,A,A,B+,B-,A-,2,3,3,0,39,0,26,15,0,2,1,0,2,0,82,4,3,1
S0019,Male,65.28,57.67,5.92,4,A,A+,A-,B-,B+,B,A,B-,A-,B,A+,3,1,4,1,78,0,197,2,5,4,2,1,0,5,57,1,3,1
S0020,Male,61.2,75.43,9.07,2,C,B+,A-,B+,A-,B-,B,B-,A+,A,B,1,1,1,5,40,0,229,14,2,1,1,0,2,7,65,2,2,0
S0021,Female,68.73,61.86,7.17,3,A+,A+,A,B,A,A,A+,A,B,B+,C,3,2,3,4,60,1,15,1,5,0,3,3,1,6,97,4,4,1
S0022,Male,83.62,78.64,6.69,3,B,A,A,B+,A,B,A,B-,B+,B,B+,1,1,1,3,95,1,21,10,3,4,3,0,2,1,84,1,5,1
S0023,Male,84.53,71.59,6.0,2,A-,A-,A+,A-,A,A-,A,A,C,A,A,1,3,4,3,39,2,72,8,4,4,3,3,2,1,63,3,5,0
S0024,Male,80.13,52.86,6.83,1,B,A,C,B+,B+,A+,B,A+,B+,B+,B+,2,1,4,3,50,3,183,4,2,0,2,2,0,9,90,5,1,0
S0025,Male,82.25,77.05,5.82,1,B+,C,C,A,A+,A+,B-,B,D,A,B,1,1,5,4,30,3,134,2,4,4,2,0,0,0,76,1,1,1
S0026,Female,80.16,65.06,10.0,4,A,C,B+,A-,A,B,B,A-,B-,A,A+,3,2,2,0,75,2,0,7,1,2,1,2,1,0,93,5,1,1
S0027,Male,68.59,82.57,7.47,5,B-,A,D,A,C,A-,A,B+,C,C,B-,3,4,2,0,49,0,207,5,1,4,1,3,2,2,97,5,3,0
S0028,Male,79.32,72.02,7.43,3,B+,B,B,A,B+,B-,B+,B,A,C,B-,3,4,3,5,50,2,13,6,4,0,0,0,1,2,50,3,1,1
S0029,Male,83.0,76.75,8.21,3,B-,B+,A+,A,A+,B,A+,A+,A,A-,B+,2,3,1,5,66,0,221,11,2,3,1,3,2,7,88,3,2,0
S0030,Male,82.54,60.51,8.65,4,A-,B-,A,B-,B,A+,A,A,B,A,A,2,4,2,0,43,0,243,6,0,1,3,3,2,8,99,3,1,0
S0031,Female,86.89,64.93,8.64,4,D,B,C,A-,A+,B,B-,B+,B,B,B,4,5,3,5,87,3,146,8,2,0,2,2,0,4,92,1,4,1
S0032,Male,82.08,66.5,8.79,3,B,A+,B,B,B,A,B+,A,A,A,A,5,2,4,1,86,2,274,8,5,2,0,2,2,0,79,3,1,1
S0033,Male,78.51,82.28,6.74,2,C,B,B-,A,B,A-,A,A+,B,A,B+,4,4,2,5,86,1,76,0,2,2,2,2,0,1,84,4,5,1
S0034,Female,85.7,92.13,7.14,2,B+,B,B-,A-,B,B,A-,A+,B+,A-,A+,4,1,1,0,98,0,107,2,4,3,3,3,2,3,59,1,5,0
S0035,Female,74.73,62.34,8.42,5,B+,B+,A-,A,B,B-,A,B-,A,B+,B+,1,4,5,5,99,0,110,4,2,2,3,3,1,8,80,2,1,1
S0036,Female,66.18,84.92,6.87,3,B,C,A+,A,A+,B+,A-,C,B+,A+,A,1,2,5,0,53,2,124,10,1,0,3,2,1,4,61,3,5,0
S0037,Male,73.37,45.96,7.49,3,B-,C,A,B,B,B-,B+,A,C,B+,B-,4,1,2,0,89,0,92,3,4,2,0,3,2,8,89,1,1,1
S0038,Male,67.55,57.67,7.98,3,C,B+,A+,B,A,B,A,A,B+,A+,B,5,1,5,3,52,1,236,11,5,3,2,2,0,0,84,3,1,0
S0039,Female,68.25,60.49,8.44,3,A,B,A,A,A,A-,C,B,B,B-,D,4,2,3,2,76,3,247,0,4,3,1,1,0,8,83,5,3,1
S0040,Male,73.55,55.77,5.37,4,B,D,A-,B+,C,B+,B+,C,A+,C,A,2,3,1,0,67,2,142,0,4,4,2,0,0,7,88,4,3,1
S0041,Male,67.08,53.0,8.36,1,A,A,A,B-,B+,B,B-,A,B,B,A+,3,3,4,2,81,0,208,12,2,4,2,1,2,0,81,5,5,0
S0042,Male,71.92,76.96,7.22,3,B+,A,A,A,C,A+,B,B-,C,B+,A-,4,2,1,5,42,2,22,19,3,2,0,3,1,6,61,3,5,0
S0043,Male,56.06,69.43,8.35,1,A,A,A-,A+,A+,B-,B,B+,B+,A,A+,1,2,4,0,37,2,9,4,5,2,1,0,0,4,94,1,2,0
S0044,Female,77.13,76.55,8.43,2,A,B-,A,B,B+,B,B+,C,A,B,A,5,2,5,3,61,0,255,19,5,2,1,3,1,9,77,4,2,1
S0045,Male,75.01,80.29,9.43,5,C,B,B+,A+,A+,A,A+,A,B,C,B+,1,1,3,3,46,1,176,1,0,2,2,3,0,7,68,5,1,1
S0046,Female,66.83,75.19,9.12,2,A,A,A-,C,B,D,B,C,C,A,B+,2,1,4,5,34,0,253,18,5,4,3,0,2,3,73,4,2,0
S0047,Male,81.59,79.89,9.12,3,B,D,B,B,A+,A,A-,A-,A,B+,A+,1,2,5,5,79,2,289,6,0,0,2,3,2,1,69,4,4,1
S0048,Male,84.38,71.17,9.23,2,B+,B,C,B+,A,C,A,C,A-,A,A-,1,1,4,5,41,1,94,15,1,0,0,3,0,0,71,3,3,0
S0049,Male,58.92,57.76,7.85,4,A,B-,A,A-,A,A,A-,B+,A,A-,B+,5,5,2,2,73,1,294,3,4,0,3,3,1,6,60,4,5,0
S0050,Male,67.37,84.69,7.54,1,A,A+,A+,B+,B,B,B,B+,B+,A-,A,5,2,1,3,97,0,79,17,0,4,0,2,0,0,77,2,2,1
S0051,Female,67.31,64.93,8.55,3,B+,B+,B-,A+,A,B+,C,B-,B+,C,B-,1,1,3,1,88,2,217,10,2,0,3,3,0,8,94,2,4,1
S0052,Female,65.6,60.77,8.38,4,A,B,B+,C,B-,B,A-,B,C,A,A,1,3,5,4,39,1,208,15,5,0,3,0,0,0,89,5,2,0
S0053,Female,83.29,69.86,7.13,1,B-,B+,B,B,A,A,B+,B,A-,B+,A,4,2,3,4,77,1,99,9,2,4,3,1,1,5,69,5,5,1
S0054,Female,73.06,61.05,7.99,4,C,B,A,A,A+,A,B-,A-,B+,C,A,2,2,1,5,57,0,22,1,2,1,1,0,0,1,54,1,2,1
S0055,Male,72.35,66.99,7.46,2,A,B-,B-,B+,A-,A+,A,B,B-,B+,A,4,2,4,0,34,0,280,9,5,2,3,0,0,5,89,3,3,1
S0056,Female,54.96,76.13,6.48,3,A,A-,C,A,C,B-,A,C,A,B-,B-,5,4,4,3,73,0,196,2,1,2,1,1,2,5,56,5,2,1
S0057,Male,81.35,76.18,9.05,2,B+,B-,B,A+,A,A,A,A+,B,A+,A,4,2,3,4,60,1,246,11,4,1,0,3,1,4,71,1,4,0
S0058,Male,62.61,61.23,7.57,5,B,A,A,B,A,B,B-,B+,B,C,B,4,3,4,2,45,2,89,19,0,3,3,1,2,4,86,5,2,1
S0059,Male,75.6,66.15,9.96,3,A,A,B-,B,B,B-,A,B-,A,A,A-,1,1,4,2,52,1,252,1,4,0,3,1,2,7,90,1,5,1
S0060,Male,77.77,84.89,5.55,2,A+,A+,B,B+,A,C,A,B,A,C,B,1,2,4,5,50,1,5,7,4,1,3,2,0,6,78,3,2,1
S0061,Male,88.61,77.96,6.83,3,B+,A-,B,A,B,A,B+,B-,B+,A,C,2,5,2,2,31,1,18,17,2,0,0,2,0,4,61,3,4,0
S0062,Male,61.91,96.9,7.54,1,C,A-,A+,B,A,B-,B-,B-,A-,A-,B-,3,1,5,0,52,1,274,8,0,1,2,0,0,3,78,5,2,1
S0063,Female,44.8,86.16,8.86,3,A-,B-,B,A+,B+,A,C,B,A,A,A+,3,3,5,4,40,0,109,10,1,2,2,0,2,0,85,2,1,1
S0064,Male,76.84,85.73,7.98,3,A-,B,A,B,A,B,A-,B,C,A-,B-,4,4,1,4,31,0,94,2,4,0,0,2,1,1,84,4,5,1
S0065,Male,93.01,55.35,7.87,1,C,A-,A,B+,B+,B,C,C,B+,A,B+,2,3,4,4,42,0,86,7,5,4,0,1,1,9,92,5,1,1
S0066,Male,87.39,81.17,6.15,2,B,B,B+,B,B,A+,A,B-,B-,C,A-,2,4,3,2,74,0,12,4,3,2,0,1,2,6,71,1,1,1
S0067,Male,77.1,71.36,6.11,3,B,A+,A,B-,B,A,A,B-,A,A,B,5,1,4,5,39,2,194,14,2,2,2,1,2,9,67,3,5,0
S0068,Female,70.08,65.39,7.89,4,B+,A,B,B-,B+,B+,C,A+,C,B,C,1,4,1,2,50,0,75,9,3,2,1,3,1,0,71,5,5,0
S0069,Male,83.07,74.02,5.86,3,C,B,B,D,C,A-,B+,A,B,A,A+,5,1,4,0,30,0,228,13,1,0,0,2,0,8,68,3,4,1
S0070,Female,65.26,83.34,6.86,2,B,B,A,C,A,C,A,B+,B-,B-,B,3,3,2,5,45,1,158,4,1,3,2,3,1,5,83,5,4,1
S0071,Female,79.76,78.01,8.1,1,B-,B,B,B,A,A-,B+,B,A-,B+,A,2,3,1,1,72,2,22,17,1,1,1,1,2,4,58,3,4,1
S0072,Male,80.05,61.46,6.32,2,B,A-,C,C,B,C,B,A,B+,C,A-,3,4,5,4,35,2,204,11,1,1,3,3,0,5,59,2,1,0
S0073,Male,85.6,80.91,9.43,5,B,B,A,B-,B,B+,B-,A+,B+,A-,B-,1,5,5,0,40,1,239,2,0,4,3,0,0,0,68,1,2,1
S0074,Female,100.0,64.35,8.97,3,A,B,B+,B,A+,C,B-,A,B,A,B+,1,3,2,2,95,3,194,7,3,3,0,2,1,1,87,5,3,1
S0075,Female,78.92,74.6,5.61,3,A,C,A,A+,B,B,B+,B,B-,A,A+,1,4,5,1,78,0,198,13,2,2,1,1,0,6,58,3,2,0
S0076,Female,69.91,68.36,6.38,1,B,A,B+,A+,A-,B-,B-,B-,A+,B,B+,3,2,2,3,49,0,137,0,3,1,2,0,2,5,77,5,3,0
S0077,Female,74.74,69.37,4.76,3,A,B+,A,B-,B,A,B+,C,C,B,B,2,1,5,1,50,1,222,3,0,0,3,3,1,6,79,1,3,1
S0078,Male,57.31,81.19,6.56,4,B+,B,A-,B+,B-,B+,B,A-,C,B,B+,5,2,5,0,65,1,214,7,4,2,3,0,2,5,74,5,3,1
S0079,Male,68.05,59.52,8.42,4,A,D,A+,B-,B+,A,B,A-,B+,A+,A,2,2,4,1,67,0,7,12,1,2,2,1,2,6,67,4,3,0
S0080,Male,70.91,95.34,7.0,2,B-,A,D,A,A+,A,A-,A-,A,B+,A-,2,2,1,2,85,0,215,15,4,3,3,2,2,6,75,3,5,1
S0081,Female,69.76,50.15,8.05,1,A,B+,B,A-,B,B,A+,A-,B-,C,C,4,4,5,1,40,0,283,15,1,3,3,2,1,5,68,1,4,1
S0082,Female,76.52,64.83,5.67,5,B-,A,B+,B,B,B,A-,B,B+,A,B,2,3,1,2,47,2,254,8,2,1,0,1,2,7,76,2,5,0
S0083,Male,66.78,76.44,8.46,2,B,B+,A-,C,A,A+,B,A-,B-,A+,B,5,2,1,1,74,1,204,18,1,1,1,2,2,6,85,4,1,1
S0084,Male,86.21,79.01,6.83,1,A,A,B+,A+,B+,B+,A,A+,B-,B,B,4,4,5,0,55,2,160,7,1,2,1,0,0,8,53,5,5,1
S0085,Male,75.0,70.79,7.51,1,B+,A+,A-,B-,C,B+,A,A-,A+,A,A+,2,3,1,3,88,2,113,18,5,4,1,1,0,4,98,5,4,0
S0086,Male,74.91,71.31,7.39,2,A,B+,A-,B,A,A+,A,A,B,B,B+,4,1,2,4,35,1,244,0,4,2,1,3,2,7,75,4,2,1
S0087,Female,71.72,76.93,5.97,2,A,A,B+,A,A,B+,A+,A+,B+,B+,A-,2,3,3,1,72,1,202,12,5,0,2,2,0,7,94,2,4,1
S0088,Female,76.55,69.23,6.12,3,A-,A,A,A-,A,B,B,B+,C,D,A,1,3,2,3,81,0,216,12,4,4,1,3,1,7,52,2,2,0
S0089,Female,83.25,88.72,8.66,5,A+,A,A,A+,B+,A+,A,A,A,B-,A,1,2,5,1,91,1,144,3,4,1,0,2,0,3,85,5,1,1
S0090,Male,66.33,82.07,7.98,4,D,A+,B+,A+,C,B,A,B+,A,B,B,2,4,2,5,46,3,133,9,0,4,2,2,1,8,56,5,3,1
S0091,Male,68.42,82.47,8.76,3,A+,C,B-,B+,B,B+,B,A,B-,A,A,4,5,3,3,75,2,173,10,1,4,0,1,1,9,59,2,5,0
S0092,Female,71.96,60.41,7.89,1,B,B+,A,A+,A,B-,B-,B,A,A,A,5,1,2,2,70,2,269,13,4,1,3,1,0,3,94,2,3,1
S0093,Female,61.54,71.05,7.67,5,A-,B-,A+,A,B,A,A+,D,B,B-,A,1,4,1,3,42,0,164,4,0,0,1,0,0,5,53,2,1,0
S0094,Male,66.81,68.39,5.43,5,B,A-,A,B-,B,B-,A,B+,A,B+,A+,4,2,5,4,35,2,106,12,5,0,1,3,1,5,56,5,1,1
S0095,Female,70.24,59.93,7.18,2,A-,C,C,B+,B+,A+,C,B,B+,B,B+,5,4,1,3,62,1,247,14,5,3,2,3,2,1,71,3,2,1
S0096,Male,83.74,76.32,7.47,5,B,B+,B-,B,A,A-,A-,C,B,A-,B,4,5,1,4,33,0,28,16,2,3,1,1,2,6,79,4,2,1
S0097,Male,77.63,65.55,9.84,5,B,B+,B+,A,B,A,C,A-,A-,A,A+,2,1,5,4,79,2,219,15,2,0,0,1,2,6,71,2,1,0
